"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-num-turtles-4world-size-iterate"
"10/08/2022 01:51:21:511 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"96","1","83","deterministic","poisson","25","3.5","1636","153","3.5375394225166854","73.83339823430407"
"106","1","86","deterministic","poisson","15","3.5","381","73","2.429356049327951","35.81208984055505"
"100","1","84","deterministic","poisson","25","3.5","1322","175","2.7123087744362806","35.120228602699186"
"109","1","87","deterministic","poisson","10","3.5","218","39","1.5925458582683865","29.10407171940841"
"110","1","87","deterministic","poisson","15","3.5","390","58","1.807754582574825","33.23873955178333"
"107","1","86","deterministic","poisson","20","3.5","785","121","2.4964503078267484","46.50912922358573"
"104","1","85","deterministic","poisson","25","3.5","1299","258","4.814299684358966","54.51398173647992"
"113","1","88","deterministic","poisson","10","3.5","147","45","2.0841704584283516","42.64071749723463"
"114","1","88","deterministic","poisson","15","3.5","348","69","2.3455897354605355","55.34206492657644"
"111","1","87","deterministic","poisson","20","3.5","789","132","4.0388545533952245","55.174621299693804"
"108","1","86","deterministic","poisson","25","3.5","1166","199","2.749192461923954","56.81951485900779"
"117","1","89","deterministic","poisson","10","3.5","125","39","1.7074991521682747","35.171308457462565"
"118","1","89","deterministic","poisson","15","3.5","368","74","2.3975681806412172","59.78618373634753"
"115","1","88","deterministic","poisson","20","3.5","792","119","2.6577304471844023","53.370835119160695"
"112","1","87","deterministic","poisson","25","3.5","1483","172","4.007049754547392","56.702063475052704"
"121","1","90","deterministic","poisson","10","3.5","167","42","2.1618966825904637","34.829792580956706"
"119","1","89","deterministic","poisson","20","3.5","884","166","3.2400376312957473","97.17222734853894"
"116","1","88","deterministic","poisson","25","3.5","1327","202","3.435597469429508","58.19360783061344"
"122","1","90","deterministic","poisson","15","3.5","479","55","2.5057739819626104","31.805652687158624"
"125","1","91","deterministic","poisson","10","3.5","166","50","1.6177701464797005","43.03178853283637"
"123","1","90","deterministic","poisson","20","3.5","720","110","2.960733730177","49.38683968932267"
"120","1","89","deterministic","poisson","25","3.5","1270","188","3.8900431749377304","85.70667445874108"
"126","1","91","deterministic","poisson","15","3.5","429","94","2.8872363767205513","73.98862920788565"
"129","1","92","deterministic","poisson","10","3.5","145","34","1.5996033253371844","27.219919847383437"
"130","1","92","deterministic","poisson","15","3.5","325","69","1.7563980913420325","26.956476001718464"
"127","1","91","deterministic","poisson","20","3.5","775","157","3.3280314751978217","33.782128156374654"
"131","1","92","deterministic","poisson","20","3.5","644","143","3.410483044665087","79.50824373394583"
"133","1","93","deterministic","poisson","10","3.5","169","41","1.4914966188146774","26.515713484643882"
"134","1","93","deterministic","poisson","15","3.5","425","75","2.0531154872907944","65.09386423942328"
"128","1","91","deterministic","poisson","25","3.5","1197","184","4.11546529351242","109.28160374545173"
"124","1","90","deterministic","poisson","25","3.5","1652","162","4.262472354130095","90.82539766331415"
"137","1","94","deterministic","poisson","10","3.5","154","32","1.8868714950745886","38.11206347645415"
"132","1","92","deterministic","poisson","25","3.5","1078","258","3.977977905733356","57.59286395763127"
"138","1","94","deterministic","poisson","15","3.5","295","78","2.0832496969976377","58.5008636929277"
"135","1","93","deterministic","poisson","20","3.5","675","142","2.9137502562167867","64.24793979776652"
"141","1","95","deterministic","poisson","10","3.5","173","37","1.599587818328291","25.78172450242734"
"142","1","95","deterministic","poisson","15","3.5","413","59","1.5572712738441679","32.55269926209217"
"139","1","94","deterministic","poisson","20","3.5","756","169","4.20158979082545","37.00751108715258"
"136","1","93","deterministic","poisson","25","3.5","1185","129","2.6619214522741768","38.61106272200258"
"145","1","96","deterministic","poisson","10","3.5","143","27","0.72143751811317","21.797120881943663"
"143","1","95","deterministic","poisson","20","3.5","638","147","2.837858392678408","62.145599690453835"
"146","1","96","deterministic","poisson","15","3.5","486","65","2.6754233208799834","32.58234837942571"
"140","1","94","deterministic","poisson","25","3.5","1278","249","4.919943018097056","49.15241151221398"
"149","1","97","deterministic","poisson","10","3.5","147","32","1.4504222864720218","41.95357830404163"
