"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"143","1","95","conLdiscD","20","1592","358","9.6203309692282","47.66812640337379"
"147","1","96","conLdiscD","20","1533","251","7.615877478368924","23.8880305269123"
"149","1","97","conLdiscD","10","287","83","4.370143242912296","27.827104737881665"
"150","1","97","conLdiscD","15","943","145","5.882049459800289","51.32295616531905"
"140","1","94","conLdiscD","25","2780","460","10.378214598605387","63.3649775572849"
"144","1","95","conLdiscD","25","2689","419","10.304829037048002","36.08009485507944"
"153","1","98","conLdiscD","10","287","65","3.717257467567192","45.303996359711334"
"154","1","98","conLdiscD","15","647","115","5.173411830777296","14.621457700168936"
"148","1","96","conLdiscD","25","2227","405","9.646311819799031","116.26579940896237"
"151","1","97","conLdiscD","20","1530","181","6.398185068612786","40.07430810189208"
"157","1","99","conLdiscD","10","298","97","5.049444085714824","26.982118188196985"
"158","1","99","conLdiscD","15","744","106","4.994844941101987","32.58739676011557"
"155","1","98","conLdiscD","20","1760","294","8.176835957284501","65.36995206220821"
"159","1","99","conLdiscD","20","1343","289","8.910165552801331","53.50007904943534"
"152","1","97","conLdiscD","25","2583","340","8.785072810514757","44.575088215622245"
"161","1","100","conLdiscD","10","372","104","4.78306947686342","13.143473966052756"
"156","1","98","conLdiscD","25","2201","287","7.985676283569383","70.2982141358878"
"162","1","100","conLdiscD","15","937","149","6.067652353533358","38.39545711947161"
"163","1","100","conLdiscD","20","1248","359","9.337166541847497","30.148128950977352"
"160","1","99","conLdiscD","25","2786","546","11.805038928436167","58.044610900764845"
"164","1","100","conLdiscD","25","2449","291","8.38795952151314","20.905432958395018"
