"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"86","1.21","70","conLdiscD","15","753","136","7.46773078408086","23.087427960989817"
"80","1.19","70","conLdiscD","25","2035","345","10.380498715693925","34.86566748919521"
"83","1.2","70","conLdiscD","20","1430","203","8.372015603296209","28.077861632266014"
"89","1.22","70","conLdiscD","10","234","29","3.015675014492106","21.122443698844958"
"90","1.22","70","conLdiscD","15","654","142","7.259636636425418","28.95318792095653"
"84","1.2","70","conLdiscD","25","1842","208","8.446952645541412","115.08162276019425"
"87","1.21","70","conLdiscD","20","1438","222","8.92458677100195","42.093894738664574"
"93","1.23","70","conLdiscD","10","267","57","4.169320142148046","25.13613352282562"
"94","1.23","70","conLdiscD","15","553","101","6.271536863136059","54.52967476359657"
"91","1.22","70","conLdiscD","20","1353","263","10.780883240923696","46.78559471917435"
"88","1.21","70","conLdiscD","25","2227","477","14.111911037815082","79.4611862880378"
"97","1.24","70","conLdiscD","10","249","52","4.155897161455507","16.102623376375455"
"95","1.23","70","conLdiscD","20","1376","194","8.36068229179315","33.07079436808429"
"98","1.24","70","conLdiscD","15","578","119","6.357177375475776","57.69111925026083"
"99","1.24","70","conLdiscD","20","1005","151","6.7753289948708755","51.09659933435168"
"101","1.25","70","conLdiscD","10","235","36","3.5064655237558293","30.019854972905218"
"102","1.25","70","conLdiscD","15","453","87","5.768205461273869","15.880391181197039"
"92","1.22","70","conLdiscD","25","2495","329","10.8836339120555","64.45697939005537"
"100","1.24","70","conLdiscD","25","1400","294","9.455505356571193","75.24111215705719"
"96","1.23","70","conLdiscD","25","2145","303","10.105037110845702","39.43158277087769"
"105","1.26","70","conLdiscD","10","226","45","4.132615431227831","19.37992886161383"
"106","1.26","70","conLdiscD","15","593","61","3.732005403908544","31.891517182947993"
"103","1.25","70","conLdiscD","20","1180","124","7.345048102813003","17.58447076778937"
"109","1.27","70","conLdiscD","10","247","58","4.9149212398123145","26.937939939809777"
"107","1.26","70","conLdiscD","20","1299","203","9.061787609822664","32.823720505234576"
